L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
52,260,0.4290246230274019,0.5,-0.3110592030339395,0.0,0.125,0.2716282592211774,honeycomb_nnn__ql__plastic__intr0__struct0__alpha_async__lesion__s1__4491ee6953,0.0047316693092049,-0.0052766191104727,0.25,False,0.5115382030326757,0.002,0.01,ql,0.68,honeycomb_nnn,40,80,0.9,0.4995267872331985,0.3,0,0.42,0.08,160,0.375570225149829,0.2,20,1.151724902818657,4.3525161930780865e-18,0.2,plastic,sensitivity,0.0083110800156019,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.082670617141556,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.0923958925933725,0.5,0.5274240326310041,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__lesion__s2__34b07398bb,0.3537126282778773,0.330409347432941,0.25,False,0.1682194851378442,0.002,0.016,markov,0.68,square_vn,40,80,0.9,0.084177468110085,0.3,0,0.42,0.08,160,0.0950545769430802,0.3,20,0.8537331067370012,7.139858517781089e-18,0.2,plastic,sensitivity,0.3322687246471462,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0850710775865016,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3110436774398339,0.5,0.0015921503528382,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__lesion__s2__ef0bb6ded3,0.0706372255303437,0.0743121960593043,0.25,False,0.4114805288310975,0.002,0.016,markov,0.62,square_moore,40,80,0.9,0.3599348947977465,0.3,0,0.42,0.08,160,0.2494890644640127,0.2,20,1.5583378556493983,5.107206027599611e-18,0.2,plastic,sensitivity,0.0449663718628496,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0773008455775752,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3295086702159291,0.5,0.0410444370272714,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__lesion__s1__dcb2dbbd63,0.0888401973663631,0.0749856782642969,0.25,False,0.4599405576316977,0.002,0.016,markov,0.68,hex_cells,40,80,0.9,0.350332795134622,0.3,0,0.42,0.08,160,0.2632566281483773,0.4,20,1.5353640600435146,3.729856950134957e-18,0.2,plastic,sensitivity,0.0520389018276036,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0520069570758121,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.1201513399144293,0.5,0.5492546755650526,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__alpha_async__lesion__s1__70ff6e1dd8,0.325080072320783,0.3132100984778629,0.25,False,0.2217984408420237,0.002,0.016,markov,0.62,honeycomb,40,80,0.9,0.1010449654479015,0.3,0,0.42,0.08,160,0.1131761387382125,0.3,20,1.0085086417116174,3.872893553442179e-18,0.2,plastic,sensitivity,0.2795273987850455,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.138747705110011,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.366363636252131,0.5,0.0572626505297494,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__6b35306649,0.032920060622909,0.0183186822207679,0.25,False,0.6727282980905241,0.002,0.016,markov,0.58,extended_moore_r2,40,80,0.9,0.2827125636876273,0.3,0,0.42,0.08,160,0.2915467326711853,0.2,20,1.0152703935646703,3.829712647207912e-18,0.2,plastic,sensitivity,-0.0095056666098951,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0491285695054746,0,0,40,0.9906928007889546,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4279115381744773,0.5,-0.2273491258709934,0.0,0.125,0.2002214773093163,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__f18eb03d09,-0.0051096081451931,-0.0110341608700147,0.25,False,0.7680912677266546,0.002,0.016,ql,0.62,extended_moore_r2,40,80,0.9,0.3257709337956158,0.3,0,0.42,0.08,160,0.3738112578784689,0.4,20,0.694237773849219,4.623188447670322e-18,0.2,plastic,sensitivity,0.0143997097261755,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0760433714113089,0,0,40,0.9887974605522682,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4411829287764867,0.5,-0.0382236349032601,0.0,0.125,0.1676906376333271,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__60a6f461eb,-0.0122621694725055,-0.0281177906854861,0.25,False,0.913354737127571,0.002,0.016,ql,0.58,extended_hex_r2,40,80,0.9,0.1816968038208084,0.3,0,0.42,0.08,160,0.3930527605957663,0.3,20,0.5273191300103712,3.845233541147745e-18,0.2,plastic,sensitivity,-0.0045433248216235,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0210895083320532,0,0,40,0.999198717948718,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4250926433457011,0.5,-0.3009351389447161,0.0,0.125,0.2695921304914035,honeycomb_nnn__ql__plastic__intr0__struct0__alpha_async__lesion__s1__da36630d16,-0.0098673449840286,-0.0103951608768735,0.25,False,0.5469372810769224,0.002,0.016,ql,0.68,honeycomb_nnn,40,80,0.9,0.4785721885470855,0.3,0,0.42,0.08,160,0.3718540812145175,0.2,20,1.1344105230117745,3.508981271002765e-18,0.2,plastic,sensitivity,-0.0062525445016018,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0302304807214855,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.084121221835245,0.5,0.5543771374937461,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__lesion__s2__c9817e0278,0.3904102603288095,0.389633419675983,0.25,False,0.1516991304078152,0.002,0.006,markov,0.68,square_vn,40,80,0.9,0.0745054318593637,0.3,0,0.42,0.08,160,0.0875330387988982,0.4,20,0.8045390825307454,5.1524097496996095e-18,0.2,plastic,sensitivity,0.3696817315674375,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0840096161897117,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.2971459642373377,0.5,0.0652727920745263,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__lesion__s2__919c10a269,0.0883341594980648,0.0837279924456102,0.25,False,0.4176806558410046,0.002,0.006,markov,0.62,square_moore,40,80,0.9,0.3303005894561658,0.3,0,0.42,0.08,160,0.2407699391668471,0.3,20,1.5423124065410143,3.562414574876728e-18,0.2,plastic,sensitivity,0.0587464995955865,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0703485817449705,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3342049124918942,0.5,0.0179443970027005,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__lesion__s2__01a62a8a1a,0.1099114506615492,0.0850076468988006,0.25,False,0.4341909607446629,0.002,0.006,markov,0.58,hex_cells,40,80,0.9,0.368064676009472,0.3,0,0.42,0.08,160,0.2683995519368506,0.2,20,1.5499176099442422,3.0092706016918363e-18,0.2,plastic,sensitivity,0.0539552197526752,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0562359604230245,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
