L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,order_bias,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
72,500,0.45111913234376,0.5,-0.2378188654229572,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__baseline__s1__3426fbac58,0.0033191677626114,-0.0041557328763202,0.25,False,0.6061817834153275,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4495385859083025,0.3,0,0.42,0.08,300,0.451165023248873,0.2,20,0.9404953319761776,,9.572634726291645e-19,0.2,fixed,primary,,False,block_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.1724501863859575,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,median,0.43233429153689623
72,500,0.45111913234376,0.5,-0.2378188654229572,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__baseline__s1__3426fbac58,0.0033191677626114,-0.0041557328763202,0.25,False,0.6061817834153275,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4495385859083025,0.3,0,0.42,0.08,300,0.451165023248873,0.2,20,0.9404953319761776,,9.572634726291645e-19,0.2,fixed,primary,,False,block_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.1724501863859575,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8542702387831989
72,500,0.4457811799774547,0.5,-0.23379247211289,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__baseline__s3__336b4a8d07,-0.0023704208035935,-0.0058765040003754,0.25,False,0.9914414929773712,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0049789440472867,0.3,0,0.42,0.08,300,0.4457815750774697,0.2,20,0.0,,0.0,0.2,plastic,primary,,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.250805998432095,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,median,0.5019334967722403
72,500,0.4457791989609479,0.5,-0.2376004707654616,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__baseline__s5__bd9803d13c,-0.0038829854612009,0.0007556879548491,0.25,False,0.9912362096965024,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0111555132880335,0.3,0,0.42,0.08,300,0.4457671085431314,0.2,20,0.0,,0.0,0.2,plastic,primary,,False,block_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.1333112381275256,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,visual,-0.0666556190637628
72,500,0.4507573664313499,0.5,-0.2361293278482355,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__imprint__s2__748fb815ba,-0.0042521571619818,0.0055276674456392,0.25,False,0.6119412229846978,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4451168209288527,0.3,0,0.42,0.08,300,0.4507710024162921,0.2,20,0.9392949190917712,,9.239445991709322e-19,0.2,fixed,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.1550510953830893,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,median,0.0
72,500,0.4504878662017795,0.5,-0.2369591433607352,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__imprint__s5__9a433ae403,0.0030012687960808,-0.0035788246629512,0.25,False,0.635960368869384,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4324350190344562,0.3,0,0.42,0.08,300,0.450507485054299,0.2,20,0.927427056577114,,8.500137319731553e-19,0.2,fixed,primary,,False,block_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0809442536600955,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8869549297470662
72,500,0.4457969870954633,0.5,-0.2038571372946896,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__imprint__s5__d1a68335e9,0.0025323356930287,-0.0010184395291751,0.25,False,0.990691848158206,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0186118093662688,0.3,0,0.42,0.08,300,0.445816853599311,0.2,20,0.0,,6.642851877643276e-20,0.2,plastic,primary,,False,block_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0478940016724591,0,0,40,0.9912122770919068,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,median,0.09384198065438391
72,500,0.4384739845284272,0.5,-0.1231663834617337,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__imprint__s2__23d5c0e655,-0.0861066554447384,-0.0175178609671524,0.25,False,0.9669884988998438,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0643193253676746,0.3,0,0.42,0.08,300,0.4378681455094451,0.2,20,0.0193432267912445,,4.261668443286892e-18,0.2,plastic,primary,,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0228906574997023,0,0,40,0.988233024691358,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.007897898041393348
72,500,0.4507631037794998,0.5,-0.2361334790425885,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__lesion__s2__9f5d930806,-0.0042470016635573,0.0056089526714505,0.25,False,0.6118023002187702,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4452114204441229,0.3,0,0.42,0.08,300,0.4507738871783039,0.2,20,0.9390633561514168,,1.059868704619072e-18,0.2,fixed,primary,-0.0048809612769303,False,block_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.1531771577197822,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.0
72,500,0.4504846092304538,0.5,-0.2369517338224766,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__block_async__lesion__s5__b00bcd25b6,0.0029967029335311,-0.0035659496688306,0.25,False,0.6359456729824355,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.4324239749031514,0.3,0,0.42,0.08,300,0.4505071573906827,0.2,20,0.927721203977518,,1.0409639569017109e-18,0.2,fixed,primary,0.0025423280529524,False,block_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.080272476414889,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8875849657700735
