L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,repair_reference_corr
56,320,0.2019781217972805,0.5,0.3809337817370832,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__sequential__lesion__s3__a1135ce954,0.1864836558867282,0.1754082517813639,0.25,False,0.3551409664651855,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.1865920302101014,0.3,0,0.42,0.08,210,0.1907230177642311,0.2,20,1.364114144341709,3.1346394361014684e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0923458261620149,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.1600480796667055
56,320,0.4652881768880023,0.5,-0.4241895429136631,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__lesion__s3__da8bd6228f,0.0083058854053359,0.0052831131727258,0.25,False,0.4899835581884444,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.5550722198001024,0.3,0,0.42,0.08,210,0.4585755177284823,0.2,20,1.29074049156348,2.1435940191460333e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.023628878318447,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0069399945524695
56,320,0.4569533329323822,0.5,-0.2932926808085989,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s3__8cca92a1c0,0.0213299800922415,-0.0056694504079058,0.25,False,0.3705470316053274,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5222830178453807,0.3,0,0.42,0.08,210,0.4537769301182381,0.2,20,0.9852281360342516,1.1354612670173345e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.4903997818753081,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213031581599888
56,320,0.4824305048629993,0.5,-0.3235829450148253,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__sequential__lesion__s3__4b918fed70,0.0094588984108956,-0.0076631277943226,0.25,False,0.1321446999309349,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.632019080821733,0.3,0,0.42,0.08,210,0.4777765839875094,0.2,20,0.9991545641890922,3.775031222778356e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0326653386251164,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0098552778639453
56,320,0.4046489587481452,0.5,-0.2477051463788361,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__sequential__baseline__s1__3cd3103e27,-0.0122035792885233,-0.0025874680653043,0.25,False,0.7067735214909874,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.366589020417112,0.3,0,0.42,0.08,210,0.4054298686388885,0.2,20,1.4841920087937546,1.8980264571621442e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0039142429341054,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4251599408746195,0.5,-0.3325572492240779,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__sequential__baseline__s1__a4cf46681e,-0.0123462089685346,0.0081642518200506,0.25,False,0.5884044354183048,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.4610165610718842,0.3,0,0.42,0.08,210,0.4260633964511168,0.2,20,1.3325677625871188,1.684884287491468e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0127073030325296,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.3861669816277172,0.5,-0.1460596741965619,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__baseline__s1__7681106fef,0.0499831803227562,0.0435984941995971,0.25,False,0.8383938757742894,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.2045640982765362,0.3,0,0.42,0.08,210,0.3890885945415142,0.2,20,0.2812977370158757,5.179826943160207e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0575061089035225,0,0,40,0.9560214710884354,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.407311832779596,0.5,-0.2851546565885152,0.0,0.125,0.0,honeycomb_nnn__markov__plastic__intr0__struct0__sequential__baseline__s1__35683b4d58,0.0003103203361712,0.0150446505222633,0.25,False,0.6318192730957731,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.4216802676756073,0.3,0,0.42,0.08,210,0.4098105581418069,0.2,20,0.9370445849755972,4.919867771206242e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0807302132613254,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4064187869107674,0.5,-0.2681113856285386,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__sequential__baseline__s2__cc83a8c25f,0.0087987514588541,-0.009027524198666,0.25,False,0.7045812032630746,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.3743175911240247,0.3,0,0.42,0.08,210,0.4037499915968263,0.2,20,1.480365503459666,3.011711178274937e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0058194720555543,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4252270288784309,0.5,-0.3366230855282381,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__sequential__baseline__s2__d9d671e2b4,-0.0051880263676181,0.0134545684421306,0.25,False,0.584984462047887,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.4645921964176411,0.3,0,0.42,0.08,210,0.4258396166713843,0.2,20,1.3241242414469176,2.8049494158239046e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.01461162851311,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
