L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
52,260,0.432817807755774,0.5,0.1608826613980476,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__534917c366,0.034680907249846,0.0434183940196027,0.25,False,0.8627099966404672,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1831842313448038,0.3,0,0.42,0.08,160,0.3416706057663736,0.4,20,0.795088990772694,4.129480940987326e-18,0.2,plastic,sensitivity,-0.0003197764290574,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0323294990076854,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0003197764290574
52,260,0.4222314364459087,0.5,0.1730299309513084,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__ee1ed86d00,0.0447231472875828,0.0350368216193216,0.25,False,0.8630338210094829,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1750484654857591,0.3,0,0.42,0.08,160,0.3382492073165083,0.4,20,0.754045484173135,3.0069587776237896e-18,0.2,plastic,sensitivity,-0.0279704047751054,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0390709276441212,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4142135623730947
52,260,0.4222314364459087,0.5,0.1730299309513084,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__ee1ed86d00,0.0447231472875828,0.0350368216193216,0.25,False,0.8630338210094829,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1750484654857591,0.3,0,0.42,0.08,160,0.3382492073165083,0.4,20,0.754045484173135,3.0069587776237896e-18,0.2,plastic,sensitivity,-0.0279704047751054,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0390709276441212,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7345100203510744
52,260,0.4222314364459087,0.5,0.1730299309513084,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__ee1ed86d00,0.0447231472875828,0.0350368216193216,0.25,False,0.8630338210094829,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1750484654857591,0.3,0,0.42,0.08,160,0.3382492073165083,0.4,20,0.754045484173135,3.0069587776237896e-18,0.2,plastic,sensitivity,-0.0279704047751054,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0390709276441212,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0279704047751054
52,260,0.4096523699405714,0.5,0.1937252023018824,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__1d8a5169c1,0.0236161679319448,0.0285109741718138,0.25,False,0.8379959498604096,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1785090807765584,0.3,0,0.42,0.08,160,0.3295929987574812,0.4,20,0.7151209485342381,3.324902203841002e-18,0.2,plastic,sensitivity,-0.0324809755820041,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0359969777733987,0,0,40,0.9995479947403024,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.41421356237309
52,260,0.4096523699405714,0.5,0.1937252023018824,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__1d8a5169c1,0.0236161679319448,0.0285109741718138,0.25,False,0.8379959498604096,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1785090807765584,0.3,0,0.42,0.08,160,0.3295929987574812,0.4,20,0.7151209485342381,3.324902203841002e-18,0.2,plastic,sensitivity,-0.0324809755820041,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0359969777733987,0,0,40,0.9995479947403024,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.6971224596475388
52,260,0.4056925896612437,0.5,0.1487078920283404,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__7f9cf07bcd,0.0394305755750904,0.0174818569491594,0.25,False,0.8384897931116678,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1836684973510404,0.3,0,0.42,0.08,160,0.3319003933871816,0.4,20,0.5989210908840136,4.2465401793624545e-18,0.2,plastic,sensitivity,-0.0317777228777927,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0263343301645978,0,0,40,0.999198717948718,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0317777228777927
52,260,0.454220019431827,0.5,0.0460328605171373,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__1791f596ad,0.0152581015299275,0.0321684502102476,0.25,False,0.8638282817898055,0.002,0.006,markov,0.62,extended_hex_r2,40,80,0.9,0.2130113156374289,0.3,0,0.42,0.08,160,0.3582251704902773,0.2,20,0.7731912810672359,3.595143053800551e-18,0.2,plastic,sensitivity,0.0009145309267683,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0117267224904615,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.414213562373095
52,260,0.454220019431827,0.5,0.0460328605171373,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__1791f596ad,0.0152581015299275,0.0321684502102476,0.25,False,0.8638282817898055,0.002,0.006,markov,0.62,extended_hex_r2,40,80,0.9,0.2130113156374289,0.3,0,0.42,0.08,160,0.3582251704902773,0.2,20,0.7731912810672359,3.595143053800551e-18,0.2,plastic,sensitivity,0.0009145309267683,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0117267224904615,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7673279198220051
52,260,0.454220019431827,0.5,0.0460328605171373,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__1791f596ad,0.0152581015299275,0.0321684502102476,0.25,False,0.8638282817898055,0.002,0.006,markov,0.62,extended_hex_r2,40,80,0.9,0.2130113156374289,0.3,0,0.42,0.08,160,0.3582251704902773,0.2,20,0.7731912810672359,3.595143053800551e-18,0.2,plastic,sensitivity,0.0009145309267683,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0117267224904615,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0009145309267683
