L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,order_bias,selection_role,selection_score
52,280,0.4260166580871614,0.5,-0.0242643998360086,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__f0b8461bba,0.0239544578417876,-0.0145678063312284,0.25,False,0.8265181618947861,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2436760429491282,0.3,0,0.42,0.08,180,0.3745513489111319,0.3,20,0.4281355939895534,2.9907335808031323e-18,0.2,plastic,ablation,0.0200336041954655,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0037988392259681,0,0,40,0.9993630834976988,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,0.0200336041954655
52,280,0.4250515808141129,0.5,-0.0153457074379959,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__50cf7b5be0,-0.009565938605253,-0.0079991279973942,0.25,True,0.8244349289212396,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2421384226379043,0.3,0,0.42,0.08,180,0.3725723701843337,0.3,20,0.4572006532324006,4.0316245979566355e-18,0.2,plastic,ablation,-0.0506790524447911,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0036228741445451,0,0,40,0.999301446416831,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.414213562373094
52,280,0.4250515808141129,0.5,-0.0153457074379959,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__50cf7b5be0,-0.009565938605253,-0.0079991279973942,0.25,True,0.8244349289212396,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2421384226379043,0.3,0,0.42,0.08,180,0.3725723701843337,0.3,20,0.4572006532324006,4.0316245979566355e-18,0.2,plastic,ablation,-0.0506790524447911,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0036228741445451,0,0,40,0.999301446416831,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.45538921616012806
52,280,0.4260166580871614,0.5,-0.0242643998360086,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__880f32d9d5,0.0239544578417876,-0.0145678063312284,0.25,True,0.8265181618947861,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2436760429491282,0.3,0,0.42,0.08,180,0.3745513489111319,0.3,20,0.4281355939895534,2.9907335808031323e-18,0.2,plastic,ablation,0.0200336041954655,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0037988392259681,0,0,40,0.9993630834976988,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,0.0200336041954655
52,280,0.2527382365860515,0.5,0.5529444245597249,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__4592c5bc9c,0.2034223342817989,0.1901511073003591,0.25,False,0.4776882003260458,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1525825755601356,0.3,0,0.42,0.08,180,0.1930952635490348,0.0,20,1.2550471116248123,7.296899375534378e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1102875682389328,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,median,1.4142135623730825
52,280,0.2527382365860515,0.5,0.5529444245597249,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__4592c5bc9c,0.2034223342817989,0.1901511073003591,0.25,False,0.4776882003260458,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1525825755601356,0.3,0,0.42,0.08,180,0.1930952635490348,0.0,20,1.2550471116248123,7.296899375534378e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1102875682389328,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,visual,1.199903327505346
52,280,0.2527382365860515,0.5,0.5529444245597249,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__b9fa4dfed0,0.2034223342817989,0.1901511073003591,0.25,True,0.4776882003260458,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1525825755601356,0.3,0,0.42,0.08,180,0.1930952635490348,0.0,20,1.2550471116248123,7.296899375534378e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1102875682389328,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,median,1.4142135623730825
52,280,0.2527382365860515,0.5,0.5529444245597249,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__b9fa4dfed0,0.2034223342817989,0.1901511073003591,0.25,True,0.4776882003260458,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1525825755601356,0.3,0,0.42,0.08,180,0.1930952635490348,0.0,20,1.2550471116248123,7.296899375534378e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1102875682389328,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.0132712269814398,visual,1.199903327505346
52,280,0.2442891402364342,0.5,0.581076647796469,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__6d3101d943,0.2070678702021956,0.2022805792966405,0.25,False,0.4513590918814312,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1457937984063984,0.3,0,0.42,0.08,180,0.1844211470222211,0.3,20,1.317516618295062,6.751521375823327e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1190233167261976,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.004787290905555,median,1.4142135623730911
52,280,0.2442891402364342,0.5,0.581076647796469,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__6d3101d943,0.2070678702021956,0.2022805792966405,0.25,False,0.4513590918814312,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.1457937984063984,0.3,0,0.42,0.08,180,0.1844211470222211,0.3,20,1.317516618295062,6.751521375823327e-18,0.2,fixed,ablation,,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.1190233167261976,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,-0.004787290905555,visual,1.2580049599319632
