L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.3491621148320601,0.5,-0.0003404549756712,0.0,0.125,0.3487346752719845,honeycomb__ql__plastic__intr0__struct1__synchronous__lesion__s3__5e621e2516,0.0037688251330068,0.0073704495152303,0.25,False,0.7213017114788103,0.003,0.016,ql,0.68,honeycomb,50,100,0.9,0.2811535911717848,0.3,0,0.42,0.08,280,0.3492138942290164,0.2,20,1.3974363878571503,1.7712906212055514e-18,0.2,plastic,secondary,-0.0134421699980575,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0018416029901657,21891,1,35,0.6666666666666666,2,21891,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3316249424137062,0.5,-0.0048125680818873,0.1872079515644301,0.125,0.3749685537746539,honeycomb__ql__plastic__intr1__struct1__block_async__lesion__s3__14b4094dd5,-0.0082454127811703,-0.0036781299604394,0.25,False,0.6952837741852658,0.003,0.016,ql,0.68,honeycomb,50,100,0.9,0.2778810400711063,0.3,1,0.42,0.08,280,0.333320360404687,0.2,20,1.4053665552416006,3.0068458156584632e-18,0.2,plastic,secondary,-0.0016173831190823,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0018685097045544,22430,1,35,0.6666666666666666,2,22430,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.442969866464488,0.5,-0.0335181706321915,0.0671663487385165,0.125,0.0,extended_moore_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s3__2838ad44b2,-0.0701345382818642,-0.0681886637048148,0.25,False,0.8107653518603369,0.003,0.016,markov,0.68,extended_moore_r2,50,100,0.9,0.2673913440190297,0.3,1,0.42,0.08,280,0.4142707417651171,0.2,20,0.8632952763725843,3.743521313824356e-18,0.2,plastic,secondary,0.0022822688408584,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0113309407873811,0,0,35,0.9685812114197532,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4041248313459471,0.5,0.3721797165046877,0.0,0.125,0.2186280182468876,extended_moore_r2__ql__plastic__intr0__struct1__synchronous__lesion__s3__9619c9bb12,0.0239918488023532,0.0138878057579907,0.25,False,0.847337939953996,0.003,0.016,ql,0.68,extended_moore_r2,50,100,0.9,0.1678543079459762,0.3,0,0.42,0.08,280,0.4089205627375313,0.2,20,1.1217533293221706,4.362523848429236e-18,0.2,plastic,secondary,-0.0013214386698189,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0091890972715626,40046,1,35,0.7499035493827161,2,39866,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.287140638588477,0.5,-0.1999233784866178,0.1388592169269767,0.125,0.276676487038872,extended_moore_r2__ql__plastic__intr1__struct1__block_async__lesion__s3__534a1fd750,0.0327654035103649,0.0069759575855372,0.25,False,0.6060505528608957,0.003,0.016,ql,0.68,extended_moore_r2,50,100,0.9,0.3073078622812502,0.3,1,0.42,0.08,280,0.2864972886420389,0.2,20,0.8387992831410592,3.308772651241557e-18,0.2,plastic,secondary,0.0304131693183468,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0295205765672958,39635,1,35,0.7380160108024691,2,35940,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4073215300410702,0.5,-0.0523460050831805,0.0529381196720782,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s3__6a0bfb0d4b,0.0284928222382297,0.0174338042129222,0.25,False,0.8246943297432718,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463725126578707,0.3,1,0.42,0.08,280,0.4387917144180833,0.2,20,0.2804342913280647,2.583799231331215e-18,0.2,plastic,secondary,-0.0258082135124913,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0030768449429856,0,0,35,0.9891439471879286,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4059023766740832,0.5,0.3861129718439814,0.0,0.125,0.2135493184168851,extended_hex_r2__ql__plastic__intr0__struct1__synchronous__lesion__s3__3e7392648c,0.0175304965456817,0.0088783035102717,0.25,False,0.8462830232187974,0.003,0.016,ql,0.68,extended_hex_r2,50,100,0.9,0.1669304035955443,0.3,0,0.42,0.08,280,0.4098420024434977,0.2,20,1.18941124417204,3.249965401997652e-18,0.2,plastic,secondary,0.0537461365895028,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0082575192124521,39120,1,35,0.7777777777777778,2,39114,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3349142890717692,0.5,-0.164725243691025,0.1102664514601986,0.125,0.2467281014557814,extended_hex_r2__ql__plastic__intr1__struct1__block_async__lesion__s3__b786a0aa1c,0.0280511464737432,0.0073031359784462,0.25,False,0.6885228899082835,0.003,0.016,ql,0.68,extended_hex_r2,50,100,0.9,0.3030708312517692,0.3,1,0.42,0.08,280,0.3336000350623024,0.2,20,0.4205605097710091,2.1974738326417654e-18,0.2,plastic,secondary,0.0212277489074747,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0254583266907859,38433,1,35,0.7760845336076817,2,37871,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3975600503628937,0.5,-0.252711118187147,0.081065314110375,0.125,0.0,honeycomb_nnn__markov__plastic__intr1__struct0__alpha_async__lesion__s3__3df1929c8f,0.0114083189056678,0.0063406418744446,0.25,False,0.6570215598537102,0.003,0.016,markov,0.68,honeycomb_nnn,50,100,0.9,0.3911652290029265,0.3,1,0.42,0.08,280,0.394265067683287,0.2,20,0.939477162747018,2.483702937898775e-18,0.2,plastic,secondary,0.0112384808289986,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.024418532558152,0,0,35,0.9988854595336076,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4139152969638344,0.5,0.303890750405747,0.0,0.125,0.2090606332579397,honeycomb_nnn__ql__plastic__intr0__struct1__synchronous__lesion__s3__28c14b83a9,0.0026676228654106,-0.0042964052106783,0.25,False,0.8412991471916523,0.003,0.016,ql,0.68,honeycomb_nnn,50,100,0.9,0.1883657906753632,0.3,0,0.42,0.08,280,0.4129948037672577,0.2,20,1.1626294896498577,2.7795471142457732e-18,0.2,plastic,secondary,-0.0062156030047937,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0039573002096366,33964,1,35,0.7777777777777778,2,33964,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
