L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,repair_reference_corr,selection_role,selection_score
56,320,0.4546414695736936,0.5,-0.287232618081579,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s2__b1934f622a,-0.0044005165960108,0.0010933388318348,0.25,False,0.4231391801987251,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5149594284100018,0.3,0,0.42,0.08,210,0.4545915868714557,0.2,20,0.974139023720668,9.537247352306239e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1467401861440865,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,0.07438145903860727
56,320,0.4550846952537393,0.5,-0.2874012960342016,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s1__8ac681e022,0.0065353845750771,-0.0087964197747449,0.25,False,0.4054243656996801,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.518467479569939,0.3,0,0.42,0.08,210,0.4550629356646333,0.2,20,0.9801766639088444,7.228983375911331e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1582247073947054,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.9010643102114917
56,320,0.3773282563044551,0.5,-0.181401928389771,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__baseline__s2__455cbfb03b,0.0355516067886207,0.035986616935047,0.25,False,0.8187202870723796,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.22624263525284,0.3,0,0.42,0.08,210,0.3824890005179704,0.2,20,0.255906091630059,5.301708584597748e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0555394296046429,0,0,40,0.9558487457482994,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,0.34938484134707565
56,320,0.3554377303903453,0.5,-0.1806173548500124,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__baseline__s3__75440f0a33,0.0465775301457955,0.052627262174126,0.25,False,0.7540603301943242,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.2587517130070765,0.3,0,0.42,0.08,210,0.3596942539073013,0.2,20,0.4197408435553731,4.981531312679446e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0736539344210661,0,0,40,0.9354538690476192,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.3829138763448401
56,320,0.4569630916111234,0.5,-0.2932742174331044,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s2__a6f8e6b2eb,0.0213307284095698,-0.0056495689214787,0.25,False,0.3697317416698149,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5223438882339385,0.3,0,0.42,0.08,210,0.4539957957313071,0.2,20,0.9852281360342516,1.20567162061276e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.4903837904087891,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213155711920343,median,0.20811444595184383
56,320,0.4569619798159935,0.5,-0.2932676677784125,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s1__b595fec032,0.0213282354129841,-0.0056474187622342,0.25,False,0.3694791715606606,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5223310842908998,0.3,0,0.42,0.08,210,0.4541160102497647,0.2,20,0.9852281360342516,8.881834718606135e-19,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.4903775140958391,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213166235057323,visual,0.7400393789863321
56,320,0.4569619798159935,0.5,-0.2932676677784125,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s1__b595fec032,0.0213282354129841,-0.0056474187622342,0.25,False,0.3694791715606606,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5223310842908998,0.3,0,0.42,0.08,210,0.4541160102497647,0.2,20,0.9852281360342516,8.881834718606135e-19,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.4903775140958391,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213166235057323,high_repair,0.0213166235057323
56,320,0.409288482786929,0.5,-0.2073100644806815,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__lesion__s2__ec20928df0,-0.0217886508269717,-0.0046315582276204,0.25,False,0.8736750386282394,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.2126542367731615,0.3,0,0.42,0.08,210,0.4086193126781533,0.2,20,0.2287717659468667,4.053884114648509e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1051003796941838,0,0,40,0.9760974702380952,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0260467190837125,median,0.39468136143135474
56,320,0.409288482786929,0.5,-0.2073100644806815,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__lesion__s2__ec20928df0,-0.0217886508269717,-0.0046315582276204,0.25,False,0.8736750386282394,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.2126542367731615,0.3,0,0.42,0.08,210,0.4086193126781533,0.2,20,0.2287717659468667,4.053884114648509e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1051003796941838,0,0,40,0.9760974702380952,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0260467190837125,visual,0.17622157609977482
56,320,0.398490967186846,0.5,-0.2185002488831414,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__sequential__lesion__s3__006c5331e6,-0.0180806413258125,-0.0307289531904296,0.25,False,0.8520536015721146,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.2276724308580905,0.3,0,0.42,0.08,210,0.3988947196917436,0.2,20,0.2210885374144549,5.170092502491716e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1014854002886945,0,0,40,0.9742772108843536,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0085991673918043,high_repair,-0.0085991673918043
