L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
44,220,0.4314598841617749,0.5,-0.1939018414034077,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s2__3273bae7bb,0.0070220582006237,0.0039433524544115,0.25,False,0.797152752491475,0.002,0.016,markov,0.62,extended_moore_r2,30,70,0.9,0.2972305150183885,0.3,0,0.42,0.08,140,0.4161260957267951,0.2,10,0.6386978372151473,4.1458755816244594e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.1108595151752049,0,0,40,0.9946410123966942,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3639791853139351,0.5,0.0444011998288845,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__f36c6d6d2d,0.0509224962462894,0.0532431105419447,0.25,False,0.6464022619899901,0.002,0.016,markov,0.58,extended_moore_r2,30,70,0.9,0.3004045973211089,0.3,0,0.42,0.08,140,0.2755715417567115,0.3,10,1.0914110220733546,4.31306512102904e-18,0.2,plastic,calibration,0.0197559476799502,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0664966868255009,0,0,40,0.9934788223140496,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4411534915519827,0.5,-0.0083703385484165,0.0,0.125,0.1372821894933291,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__11b5c98d5d,0.0293965787362959,0.0396261351119078,0.25,False,0.8286490758234845,0.002,0.016,ql,0.68,extended_moore_r2,30,70,0.9,0.2567593628672794,0.3,0,0.42,0.08,140,0.4342533031391004,0.4,10,0.7869698966474168,4.3622287432287354e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0232224762308192,0,0,40,0.999956955922865,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4159679455439803,0.5,-0.0450956035108625,0.0,0.125,0.1707893112575499,extended_moore_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s1__b68fc07730,0.0164239384336524,-0.005531489666058,0.25,False,0.806576076013168,0.002,0.016,ql,0.68,extended_moore_r2,30,70,0.9,0.2588592475673823,0.3,0,0.42,0.08,140,0.3913325215927367,0.2,10,0.2562956763116076,4.7673407681389765e-18,0.2,plastic,calibration,0.0281139006235365,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0049698670189732,0,0,40,0.9975464876033058,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.470117386982547,0.5,-0.0642815638818356,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__12e203d41b,0.0050212284602194,0.0082225773304296,0.25,False,0.8831898653748448,0.002,0.016,markov,0.62,extended_hex_r2,30,70,0.9,0.2207212573777129,0.3,0,0.42,0.08,140,0.4396007424323521,0.3,10,0.7541555233161615,4.243350842271653e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0061436678744373,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4191130878471273,0.5,0.0774102582353657,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__5b83878483,0.0215376887700226,0.0103750446199105,0.25,False,0.8680417221667429,0.002,0.016,markov,0.58,extended_hex_r2,30,70,0.9,0.1865900994150298,0.3,0,0.42,0.08,140,0.3300070766501629,0.4,10,0.500688723579671,3.965177493014456e-18,0.2,plastic,calibration,0.011762305731087,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0184403633751431,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4288949412643377,0.5,-0.0858505074487147,0.0,0.125,0.1368652733135358,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__627a0d53fa,0.0045405663994248,0.0002852542012112,0.25,False,0.9008004101163908,0.002,0.016,ql,0.58,extended_hex_r2,30,70,0.9,0.1917308038166771,0.3,0,0.42,0.08,140,0.4394999794860841,0.2,10,0.2612142527749267,4.443808866551779e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0110379228058574,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4782472975476773,0.5,-0.0481283295811884,0.0,0.125,0.1259192927596967,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s2__3fedc565ae,-0.0031236220355945,-0.0092087263103265,0.25,False,0.8420478730419517,0.002,0.016,ql,0.68,extended_hex_r2,30,70,0.9,0.2522137573910149,0.3,0,0.42,0.08,140,0.4392697544611649,0.3,10,0.7509033850773085,4.0722564940662e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0053280429188481,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4641878487577846,0.5,-0.0576424246272379,0.0,0.125,0.1650703337606929,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s2__8ae4635b14,-0.011126311124288,-0.0179598727566606,0.25,False,0.885217405632312,0.002,0.016,ql,0.62,extended_hex_r2,30,70,0.9,0.2162730893722155,0.3,0,0.42,0.08,140,0.3893841651825875,0.4,10,0.7235161031603174,4.294811607594362e-18,0.2,plastic,calibration,0.0093918420023772,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0063699448990629,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4200895136540916,0.5,-0.3872715958908492,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__baseline__s1__3861393b7e,0.0081776378662958,-0.0008295188628618,0.25,False,0.4633278992699275,0.002,0.006,markov,0.62,square_moore,30,70,0.9,0.5273529111672408,0.3,0,0.42,0.08,140,0.413876893694143,0.4,10,1.5534296359330786,6.07169170186599e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0855071703579858,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3032752675921804,0.5,0.0680450456911511,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__lesion__s1__e2e54e632a,0.0959406267200198,0.0873708804096304,0.25,False,0.4330147924312759,0.002,0.006,markov,0.62,square_moore,30,70,0.9,0.3298682110252864,0.3,0,0.42,0.08,140,0.2348279188182763,0.2,10,1.5463523809456512,8.031951195193839e-18,0.2,plastic,calibration,0.0660517256027668,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0849522945255024,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
