L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,order_bias,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.4001429187811893,0.5,-0.2112890962967743,0.0,0.125,0.2616856233668906,square_vn__ql__fixed__intr0__struct0__alpha_async__imprint__s3__87ff098e05,0.0069544088319645,0.0087898291131975,0.25,False,0.7291294800659323,0.002,0.016,ql,0.68,square_vn,50,100,0.9,0.3442388835053216,0.3,0,0.42,0.08,300,0.3921427396986048,0.2,20,1.434997672588556,,2.244195641379721e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0028260897399329,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3994171536145836,0.5,-0.2181205676291501,0.0,0.125,0.263759090862551,square_vn__ql__plastic__intr0__struct0__alpha_async__lesion__s3__963c99ccf2,-0.0014237981470895,0.0120185273891448,0.25,False,0.726906723355872,0.002,0.016,ql,0.68,square_vn,50,100,0.9,0.3470967761964197,0.3,0,0.42,0.08,300,0.3919342091051443,0.2,20,1.445030432933636,,2.4612504760216884e-18,0.2,plastic,primary,-0.0017985956200065,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0029451348913583,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3193811746925322,0.5,0.0553142777377487,0.0,0.125,0.0,square_moore__markov__fixed__intr0__struct0__alpha_async__order_ab__s3__8c90b4169d,0.0792723625978192,0.0800734102582306,0.25,False,0.4849538343171522,0.002,0.016,markov,0.68,square_moore,50,100,0.9,0.3285113164504832,0.3,0,0.42,0.08,300,0.2885104527629669,0.2,20,1.5229552991281226,0.0008010476604114,4.7154635609905584e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0466815246864014,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3101707136885727,0.5,-0.0003002137793047,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__order_ba__s3__9e6078e617,0.0782768575139462,0.0753339113253461,0.25,False,0.4142267236349884,0.002,0.016,markov,0.68,square_moore,50,100,0.9,0.3571004964580917,0.3,0,0.42,0.08,300,0.2820112432607122,0.2,20,1.531495990495295,-0.0029429461886001,3.0161328429104665e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0436722418467287,0,0,40,0.9992042824074074,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4127295559338403,0.5,-0.3168181995022843,0.0,0.125,0.3174791551405957,square_moore__ql__fixed__intr0__struct0__block_async__baseline__s3__5a44989e9a,-0.0009755510346085,0.0023771153745296,0.25,False,0.6308698467307158,0.002,0.016,ql,0.68,square_moore,50,100,0.9,0.4299480962287996,0.3,0,0.42,0.08,300,0.4130331123890514,0.2,20,1.3909348043906689,,3.7921027855752216e-18,0.2,fixed,primary,,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0987414546228719,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4087156408081168,0.5,-0.35490385747466,0.0,0.125,0.2740479137202072,square_moore__ql__plastic__intr0__struct0__block_async__imprint__s3__2f852b3970,0.0071073134368639,0.0011646449453878,0.25,False,0.5801017103977834,0.002,0.016,ql,0.68,square_moore,50,100,0.9,0.4722948237656824,0.3,0,0.42,0.08,300,0.4122451787777267,0.2,20,1.4779640655079107,,2.7742489661709363e-18,0.2,plastic,primary,,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0282242682389307,0,0,40,0.9987220293209876,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4706021053734536,0.5,-0.44463480500658,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__block_async__lesion__s3__b01ca28417,-0.0036033250386111,-0.0013880171593765,0.25,False,0.4913490016881676,0.002,0.016,markov,0.68,hex_cells,50,100,0.9,0.5618235020396278,0.3,0,0.42,0.08,300,0.4705174024435772,0.2,20,1.3525318465564982,,1.381877788868117e-18,0.2,fixed,primary,-0.0016216333220428,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.1189487119455547,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4403460831137823,0.5,-0.3796871713311865,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__block_async__order_ab__s3__73cf25a9f3,-0.0048271497343693,-0.0060312753087216,0.25,False,0.5521706144745003,0.002,0.016,markov,0.68,hex_cells,50,100,0.9,0.4998172398639384,0.3,0,0.42,0.08,300,0.4355213773380761,0.2,20,1.3772564016558255,-0.0012041255743522,1.3048049474349296e-18,0.2,plastic,primary,,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0115357884735868,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4595026788951302,0.5,-0.413194550296028,0.0,0.125,0.2959608968451108,hex_cells__ql__fixed__intr0__struct0__block_async__order_ba__s3__cde22bc947,0.0042877353591397,-0.0034325664352981,0.25,False,0.5559667948834617,0.002,0.016,ql,0.68,hex_cells,50,100,0.9,0.5288667425823208,0.3,0,0.42,0.08,300,0.4594062969811381,0.2,20,1.267762737347792,-0.0077203017944379,1.6594365896449822e-18,0.2,fixed,primary,,False,block_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0297467715463709,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3986151734280503,0.5,-0.1132360518274984,0.0,0.125,0.0,honeycomb__markov__fixed__intr0__struct0__synchronous__baseline__s3__1ade3f39f7,-0.0008702696230741,-0.0123767081914944,0.25,False,0.7565000330517938,0.002,0.016,markov,0.68,honeycomb,50,100,0.9,0.3072154955580187,0.3,0,0.42,0.08,300,0.4015571584045411,0.2,20,1.4897514494827422,,2.5793940269809282e-18,0.2,fixed,primary,,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.0026460820740311,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.2469046076615108,0.5,0.4198801772161573,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__synchronous__imprint__s3__d5254d9529,0.1497654219888956,0.1370381513701093,0.25,False,0.4653828705831387,0.002,0.016,markov,0.68,honeycomb,50,100,0.9,0.1935866840072645,0.3,0,0.42,0.08,300,0.2506003727686169,0.2,20,1.4958950091617376,,2.309381242475264e-18,0.2,plastic,primary,,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.178121452987101,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3939439567153743,0.5,-0.1121663079654431,0.0,0.125,0.2617531868305826,honeycomb__ql__fixed__intr0__struct0__synchronous__lesion__s3__621b24ec63,0.0027871854549765,-0.0067630867929108,0.25,False,0.7537293256302713,0.002,0.016,ql,0.68,honeycomb,50,100,0.9,0.3064269539866032,0.3,0,0.42,0.08,300,0.3958733581589407,0.2,20,1.4659191898743216,,2.1466405817639626e-18,0.2,fixed,primary,-0.0157623397282048,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.0021582123294052,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3989022952445017,0.5,-0.1041304815802627,0.0,0.125,0.2648336947420671,honeycomb__ql__plastic__intr0__struct0__synchronous__order_ab__s3__d31e97fa64,0.0020395093572617,0.0069005733063581,0.25,False,0.7568200838107175,0.002,0.016,ql,0.68,honeycomb,50,100,0.9,0.3054050813615547,0.3,0,0.42,0.08,300,0.391446350246057,0.2,20,1.4645722062942574,0.0048610639490963,1.5729331082446864e-18,0.2,plastic,primary,,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.0024010925444309,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4072429668676688,0.5,0.4403457971730866,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__synchronous__order_ba__s3__820ad5f81b,-0.005040036345383,0.003875348317562,0.25,False,0.8595537772065862,0.002,0.016,markov,0.68,extended_moore_r2,50,100,0.9,0.1499519705488445,0.3,0,0.42,0.08,300,0.4100131916822812,0.2,20,1.1747280584462518,0.0089153846629451,4.61904043146971e-18,0.2,fixed,primary,,False,synchronous,50,260,400,3,-1,1.0,0.6,0.6,100,0.0112842755848966,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4074468667235811,0.5,-0.0485525334064147,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s3__c248881d0e,-0.0065453986389708,0.0043690213743817,0.25,False,0.8140911445166804,0.002,0.016,markov,0.68,extended_moore_r2,50,100,0.9,0.252467535875558,0.3,0,0.42,0.08,300,0.4498990128447676,0.2,20,0.2346350397582488,,2.5090184039532586e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0033363426158174,0,0,40,0.9995820473251028,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4510969501680221,0.5,-0.2875811015604295,0.0,0.125,0.2747189978944941,extended_moore_r2__ql__fixed__intr0__struct0__alpha_async__imprint__s3__781f0765b5,0.0194641924534474,0.0044429402373756,0.25,False,0.5034573952701773,0.002,0.016,ql,0.68,extended_moore_r2,50,100,0.9,0.4911225581642563,0.3,0,0.42,0.08,300,0.4490368331249784,0.2,20,0.968786069633964,,2.901178510631153e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.3114166339294101,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
